"Дата";"Регион";"Регион население";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
20.09.2020;Томская обл.;1078280;6775;5554;79;1;62;92
26.09.2020;Костромская обл.;643324;4553;3329;67;5;54;44
15.12.2020;Сахалинская обл.;490181;13406;10292;11;0;142;366
21.09.2020;Волгоградская обл.;2521276;14158;12376;131;0;95;13
13.04.2021;Кабардино-Балкария;865828;23287;22323;431;0;32;43
29.11.2020;Тыва;321722;12311;11383;138;0;97;83
11.03.2021;Хабаровский край;1328302;49543;46972;306;2;57;68
08.12.2020;Самарская обл.;3193514;24491;22229;463;8;278;293
28.02.2021;Тамбовская обл.;1033552;26273;24072;343;2;119;86
14.05.2020;Ульяновская обл.;1246618;1012;222;5;0;80;40
01.05.2020;Ленинградская обл.;1813816;929;126;3;2;44;11
14.01.2021;Челябинская обл.;3493036;38859;25649;625;11;292;371
14.10.2020;Ненецкий АО;43997;361;136;0;0;5;0
27.07.2020;Омская обл.;1960081;6298;3972;62;0;114;3
29.11.2020;Хакасия;537513;11883;8260;135;8;182;217
30.03.2020;Курганская обл.;845537;1;0;0;0;0;0
14.07.2020;Курская обл.;1115237;5701;3882;48;2;35;51
07.01.2021;Кировская обл.;1283238;27258;20900;237;0;229;243
04.12.2020;Ивановская обл.;1014646;16466;11977;267;5;160;126
14.10.2020;Мордовия;805056;7142;5913;45;1;66;48
18.07.2020;Иркутская обл.;2404195;11262;6136;120;5;188;224
03.07.2020;Саратовская обл.;2462950;6746;3680;45;1;101;111
22.09.2020;Северная Осетия;701765;5541;4640;68;0;33;31
01.12.2020;Калужская обл.;1012156;16133;14328;109;0;145;325
08.09.2020;Камчатский край;315557;3967;3196;42;0;12;1
08.05.2020;Тульская обл.;1491855;1620;263;11;1;90;45
12.02.2021;Амурская обл.;798424;20330;18731;148;0;42;59
08.04.2021;Приморский край;1913037;42757;39933;692;2;49;116
03.06.2020;Белгородская обл.;1549876;2548;1082;22;2;77;83
21.11.2020;Ярославская обл.;1265684;14774;14241;73;0;184;321
13.05.2020;Карелия;622484;176;43;1;1;5;3
10.04.2021;Орловская обл.;747247;33039;30445;517;1;57;77
30.08.2020;Тыва;321722;6796;6135;65;5;26;0
24.05.2020;Пензенская обл.;1331655;1709;1239;13;0;97;93
27.07.2020;Владимирская обл.;1378337;5490;5113;125;1;28;2
22.03.2020;Астраханская обл.;1017514;0;0;0;0;0;0
11.10.2020;Воронежская обл.;2333768;20058;17819;209;2;203;190
10.08.2020;Мурманская обл.;753557;11439;7961;98;2;89;56
02.06.2020;Алтайский край;2350080;1985;833;12;0;70;28
27.03.2021;Курганская обл.;845537;19056;17317;347;1;42;56
18.08.2020;Дагестан;3063885;10151;9087;470;0;60;44
15.04.2020;Хабаровский край;1328302;77;7;2;0;23;0
02.09.2020;Бурятия;984511;5331;4502;53;3;40;46
16.07.2020;Адыгея;453376;2308;1868;16;2;17;25
21.12.2020;ХМАО – Югра;1655074;39064;34972;502;5;222;232
20.09.2020;Свердловская обл.;4325256;27799;21145;568;1;120;58
25.12.2020;Калмыкия;275413;14175;11838;194;0;107;139
22.08.2020;Ставропольский край;2800674;10869;7365;212;3;128;176
20.04.2021;Тверская обл.;1283873;39197;37275;832;8;80;85
13.08.2020;Красноярский край;2876497;14812;12344;380;4;121;63
21.08.2020;Нижегородская обл.;3234752;26391;23446;443;2;127;124
10.09.2020;Санкт-Петербург;5351935;38651;26776;2590;16;215;112
26.12.2020;Еврейская АО;162014;3664;2629;67;2;17;82
25.09.2020;Чечня;1436981;2404;1842;40;0;7;6
19.07.2020;Забайкальский край;1072806;3897;3137;47;0;30;29
03.12.2020;Ингушетия;488043;9720;8258;114;0;85;53
17.09.2020;Рязанская обл.;1121474;7678;6527;47;0;31;21
03.11.2020;Чечня;1436981;2683;2110;48;0;14;0
11.10.2020;Удмуртия;1513044;6503;4433;83;4;112;26
03.12.2020;Московская обл.;7503385;114471;81584;2160;36;1193;1034
08.02.2021;Карелия;622484;37675;32950;254;3;180;221
19.02.2021;Архангельская обл.;1111031;55310;49376;579;0;174;195
23.04.2021;Новгородская обл.;606476;29649;27491;121;0;40;82
22.06.2020;Тюменская обл.;1498779;2621;1532;16;0;47;12
26.05.2020;Смоленская обл.;949348;1769;581;21;5;84;14
30.04.2020;Новосибирская обл.;2788849;471;78;4;0;35;15
19.03.2021;Астраханская обл.;1017514;29865;26033;626;4;75;304
08.02.2021;Ростовская обл.;4220452;66610;56635;2809;9;359;388
18.03.2021;Чувашия;1231117;22212;20281;1136;8;43;39
31.07.2020;Марий Эл;682333;3770;3213;34;1;18;14
23.07.2020;Башкортостан;4063293;6463;4775;21;0;37;12
07.11.2020;Саха (Якутия);964330;15040;9349;175;5;204;141
21.06.2020;Москва;12506468;213946;135556;3597;32;968;1007
27.03.2021;Забайкальский край;1072806;40828;39320;588;0;57;69
23.07.2020;Алтай;218063;1351;884;1;0;20;30
31.05.2020;Алтайский край;2350080;1848;787;12;0;69;20
18.05.2020;Камчатский край;315557;495;131;1;0;18;6
30.06.2020;Татарстан;3894284;4555;3703;11;0;41;8
01.06.2020;Северная Осетия;701765;3005;1968;50;4;48;16
15.04.2020;Саратовская обл.;2462950;56;8;0;0;7;2
22.01.2021;Крым;1913731;30683;24736;688;8;234;253
08.04.2021;Орловская обл.;747247;32923;30293;515;1;60;72
16.01.2021;Магаданская обл.;144091;7489;7032;73;0;30;32
09.08.2020;Новгородская обл.;606476;3902;2745;72;0;16;4
24.07.2020;Коми;840873;4964;3149;40;0;53;114
06.05.2020;Тульская обл.;1491855;1445;187;9;0;77;30
10.02.2021;Амурская обл.;798424;20243;18611;146;1;49;65
19.04.2020;Воронежская обл.;2333768;156;28;5;0;26;4
11.07.2020;Астраханская обл.;1017514;3873;2600;35;0;31;41
03.12.2020;Калужская обл.;1012156;16432;14674;116;3;151;121
14.09.2020;Пензенская обл.;1331655;9389;8266;117;0;93;21
23.08.2020;Белгородская обл.;1549876;7033;6172;51;0;43;30
03.03.2021;Чечня;1436981;11331;10826;112;1;11;30
19.07.2020;Курганская обл.;845537;1752;837;3;0;49;20
05.01.2021;Коми;840873;31603;29629;593;7;246;269
20.07.2020;Иркутская обл.;2404195;11625;6227;122;2;178;67
23.10.2020;Ленинградская обл.;1813816;10402;6145;109;2;133;49
